k_rate_kgha,rep,location,k_pct
0,1,a1,2.63
0,1,o2,1.17
0,1,s1,3.21
0,1,w1,0.8140000000000001
0,2,a1,2.76
0,2,o2,1.22
0,2,s1,2.9
0,2,w1,0.902
0,3,a1,2.79
0,3,o2,1.32
0,3,s1,3.33
0,3,w1,1.1550000000000002
0,4,a1,2.67
0,4,o2,1.14
0,4,s1,3.13
0,4,w1,1.1550000000000002
56,1,a1,2.48
56,1,o2,1.6
56,1,s1,3.24
56,1,w1,0.6649999999999999
56,2,a1,2.87
56,2,o2,1.28
56,2,s1,3.28
56,2,w1,0.819
56,3,a1,3.04
56,3,o2,1.3
56,3,s1,3.11
56,3,w1,0.875
56,4,a1,2.67
56,4,o2,1.34
56,4,s1,3.35
56,4,w1,1.043
112,1,a1,2.83
112,1,o2,1.85
112,1,s1,3.13
112,1,w1,1.21
112,2,a1,3.17
112,2,o2,1.74
112,2,s1,3.1
112,2,w1,1.71
112,3,a1,2.95
112,3,o2,1.5
112,3,s1,3.16
112,3,w1,1.25
112,4,a1,2.79
112,4,o2,1.19
112,4,s1,2.95
112,4,w1,1.53
168,1,a1,2.94
168,1,o2,1.94
168,1,s1,3.05
168,1,w1,1.016
168,2,a1,2.84
168,2,o2,1.56
168,2,s1,3.2
168,2,w1,1.584
168,3,a1,2.76
168,3,o2,1.47
168,3,s1,3
168,3,w1,1.3920000000000001
168,4,a1,3.01
168,4,o2,1.51
168,4,s1,3.21
168,4,w1,1.4320000000000002
